"Expedition",,,,"ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011","ICE2011"
"Dinoflagellate",,"20-40","athecate",1283.3,2566.6,962.5,328.2,2566.6,1283.3,164.1,1924.9,2138.8,2994.3,855.5,1924.9,641.6,1924.9,164.1,1924.9,328.2,4491.5,6416.5,2566.6,1283.3,328.2,2566.6,4491.5,8983.4,1924.9,4491.5,328.2,198,641.6,1924.9,2566.6,6416.5,8341.4,641.6,1924.9,2566.6,7699.7,1266.3,164.1,164.1,1924.9,3849.9,6416.5,2887.4,2887.4,3849.9,8341.4,198,3849.9,4491.5,2566.6,8341.4,1266.3,4277.6,759,2566.6,5774.9,8983.4,7699.7,7699.7,328.2,198,5133.2,198
"Dinoflagellate",,20,"athecate",962.5,328.2,641.6,9624.7,759,5774.9,641.6,1924.9,475.4,6844.2,941.8,2566.6,2245.8,1924.9,164.1,198,12833,1641.1,8341.4,1266.3,32.8,2566.6,1990,2532.6,35932.1,641.6,2524.2,47481.7,3144.7,32.8,1924.9,44273.6,36573.8,2374.9,962.5,2566.6,36573.8,37215.4,38498.7,1283.3,641.6,3144.7,16682.8,2637.4,1283.3,3849.9,32723.9,36573.8,2374.9,1283.3,2566.6,13474.5,25665.8,2532.6,427.8,1283.3,1990,12833,2399.2,641.6,328.2,5774.9,328.2,2566.6,55181.5
"Dinoflagellate",,"20-40","thecate",32.8,32.8,,1283.3,,,32.8,641.6,427.8,1283.3,427.8,641.6,,1283.3,,,641.6,1283.3,1283.3,641.6,32.8,641.6,641.6,641.6,641.6,,641.6,759,1924.9,32.8,32.8,1924.9,641.6,1924.9,,1924.9,5133.2,641.6,7699.7,32.8,32.8,1283.3,1283.3,1924.9,32.8,,1283.3,1924.9,2566.6,641.6,641.6,641.6,1924.9,1283.3,427.8,,641.6,2566.6,328.2,641.6,1283.3,641.6,1283.3,1924.9,1283.3
"Dinoflagellate","<",20,"thecate",,,,,,,,32.8,,,,,,,,,,,1283.3,,,,,,,,,759,,,,641.6,,,,,,,,,,641.6,,,,,1283.3,,,,,641.6,,,,,641.6,,,,,641.6,,,
"Gymnodinium arcticum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dinobryon balticum",,,,,,,,,5133.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Polariella glacialis",,,"cyst",,,,,,,,,427.8,,,,,,,,641.6,,,,,,641.6,641.6,,32.8,1283.3,1283.3,328.2,,962.5,2566.6,1283.3,1283.3,,,,641.6,,32.8,,1283.3,641.6,,,,,641.6,,,,641.6,1283.3,,,,2566.6,641.6,,,,1283.3,641.6,,1283.3
"Prorocentrum sp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.6,,,641.6,,,,,,,,,,641.6,,,,,,,,,,,,,,,1283.3,,,,,,,,
"Oxytoxum sp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.6,,,,,,,,,,,,,,,,,,,,,,,
"Cylindrotheca closterium",,,,,,,,,,32.8,641.6,,,427.8,,,1283.3,,,,,,,,,,,,,,,,,32.8,,,,,,,,,,,,,,,,,,641.6,,,,,,427.8,,,,,,,,,,
"Phaeocystis pouchetii",,,"soletary",62531.2,11724.6,1421.9,2247.2,32378,547148.2,65136.7,13273.4,32378,3982.1,547148.2,41948.3,31265.6,2654.7,18238.3,57597.4,885859,119929.2,1268862.7,16425.4,23449.3,61863.1,78687.2,711292.7,52855.2,18238.3,1234991.6,86515.2,745163.7,59925.8,25273.4,17847.2,19169.9,898886.3,54714.8,515882.6,1589335.2,1313155.7,932757.4,19429.6,135484.3,94839.2,893675.4,992683.2,11613.2,255335.8,911913.7,1443429.5,1122956.5,88585.9,474195.1,969233.9,91973.6,79262.1,46898.4,14695.2,95361.1,687843.4,911913.7,122457,377792.9,187593.7,174566.3,153722.6,1625811.8
"Flagellate","<",5,,299628.8,83375,134181.6,343921.7,27968.6,268363.2,37445.2,34839.8,333499.9,375187.3,463773.2,317867.5,169355.4,455956.8,132878.8,135484.3,62531.2,46898.4,276179.6,231886.6,2866.1,14596.2,229281.1,151117.1,135484.3,13889.8,117246.4,229281.1,72953.9,88585.9,13273.4,28139.5,83375,88585.9,91191.4,8769.5,276179.6,75558.6,93796.8,119851.6,119851.6,2247.2,9642.4,54714.8,122457,8598.4,23226.5,127667.9,119851.6,75558.6,72953.9,19815.5,83375,16824.2,11464.6,158933.5,23226.5,997.8,9642.4,158933.5,16824.2,23226.5,119851.6,11235.2,19284.6
"Flagellate",,"5-10",,36476.5,11724.6,1421.9,31265.6,15632.9,23449.3,2843.7,41687.5,31265.6,36476.5,41687.5,2654.7,18238.3,54714.8,15632.9,31265.6,23449.3,62531.2,3982.1,46898.4,7816.4,33871.8,44292.9,3982.1,41687.5,18238.3,3982.1,2654.7,31265.6,1421.9,18238.3,46898.4,33871.8,44292.9,1327.3,33871.8,5219.4,2654.7,2654.7,15632.9,2843.7,46898.4,2843.7,1421.9,18238.3,2654.7,5732.3,23449.3,2654.7,1327.3,1327.3,41687.5,15632.9,33871.8,31265.6,44292.9,5732.3,44292.9,44292.9,33871.8,5219.4,46898.4,31265.6,2654.7,62531.2
"Dinoflagellatae",">",10,,18238.3,6513.7,132.7,23449.3,1327.3,7816.4,265.5,2843.7,18238.3,2843.7,15632.9,7816.4,1421.9,7816.4,265.5,7816.4,265.5,41687.5,23449.3,18238.3,7816.4,18238.3,15632.9,2843.7,15632.9,521.9,521.9,15632.9,1327.3,265.5,1421.9,23449.3,1327.3,265.5,1421.9,31265.6,36476.5,15632.9,521.9,1327.3,15632.9,36476.5,521.9,15632.9,7816.4,15632.9,36476.5,1327.3,7816.4,521.9,2843.7,2843.7,7816.4,1421.9,521.9,15632.9,2843.7,7816.4,7816.4,265.5,265.5,2843.7,7816.4,521.9,41687.5
"Teleaulax sp.",,,,265.5,132.7,132.7,1327.3,7816.4,,521.9,1421.9,1421.9,15632.9,521.9,265.5,521.9,265.5,265.5,2654.7,1327.3,521.9,1327.3,265.5,,521.9,2843.7,18238.3,7816.4,1421.9,2654.7,2843.7,15632.9,521.9,1421.9,2843.7,1327.3,2654.7,265.5,1327.3,15632.9,18238.3,1327.3,521.9,15632.9,2654.7,1327.3,7816.4,7816.4,521.9,15632.9,15632.9,1421.9,521.9,265.5,1421.9,7816.4,1327.3,265.5,15632.9,1421.9,521.9,1421.9,1421.9,15632.9,521.9,521.9,7816.4,1421.9
"Choanoflagellata",,,,,,,,,,,,,,,521.9,265.5,,,,,521.9,,,265.5,,,265.5,,,521.9,521.9,,265.5,265.5,,,,,,521.9,,,,,521.9,,,,,521.9,1421.9,,,,,,265.5,,,521.9,,,,265.5,1421.9,,,521.9
"Leucocryptos marina",,,"cf.",,132.7,132.7,521.9,,,,265.5,521.9,521.9,,,265.5,521.9,,265.5,265.5,521.9,1421.9,265.5,265.5,265.5,521.9,521.9,521.9,,265.5,521.9,521.9,521.9,265.5,265.5,265.5,265.5,,265.5,521.9,265.5,265.5,265.5,521.9,1421.9,,265.5,,265.5,521.9,265.5,265.5,521.9,,521.9,7816.4,,7816.4,521.9,521.9,265.5,,265.5,,521.9,,,
"Coccolithophora",,,,,,,,,,,,,,,,,,,,,,2843.7,,,,,,,,,,,265.5,,,,265.5,265.5,,,,,265.5,265.5,,265.5,,265.5,521.9,,,,265.5,521.9,,,,,265.5,,,,,,,,,
"Pyramimonas sp.",,,,265.5,132.7,132.7,265.5,1327.3,521.9,265.5,521.9,521.9,15632.9,521.9,7816.4,521.9,2866.1,265.5,265.5,521.9,265.5,265.5,7816.4,265.5,521.9,7816.4,1421.9,1327.3,,265.5,1421.9,521.9,,265.5,521.9,265.5,265.5,,265.5,1421.9,521.9,265.5,,265.5,521.9,265.5,521.9,,,1421.9,521.9,521.9,,,1421.9,521.9,265.5,521.9,521.9,521.9,265.5,265.5,1421.9,1327.3,15632.9,15632.9,1421.9,521.9
"Cryptomonas sp.",,,,,,,,265.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cryptophyceae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eutreptiella sp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gyrodinium flagellare",,,,,132.7,132.7,,,,265.5,521.9,,,,,,521.9,,521.9,265.5,265.5,,265.5,1421.9,18238.3,521.9,265.5,521.9,521.9,1327.3,,521.9,265.5,7816.4,521.9,265.5,265.5,,7816.4,,265.5,265.5,521.9,15632.9,521.9,265.5,,1327.3,7816.4,,521.9,7816.4,1421.9,1421.9,,521.9,7816.4,521.9,1421.9,,,521.9,521.9,521.9,,265.5,265.5,
"Flagellate ",,,"with lobes",265.5,398.2,,2843.7,265.5,,,265.5,1327.3,521.9,2843.7,1421.9,521.9,521.9,521.9,1327.3,1421.9,521.9,,,265.5,521.9,23449.3,1327.3,18238.3,265.5,1327.3,2843.7,33871.8,,265.5,18238.3,1327.3,18238.3,,18238.3,15632.9,15632.9,18238.3,265.5,,1421.9,7816.4,521.9,,521.9,2843.7,18238.3,15632.9,521.9,521.9,1421.9,15632.9,18238.3,,,1421.9,1421.9,1327.3,265.5,521.9,521.9,1421.9,265.5,15632.9
"Coccolithophora","<",5,,278785.3,91191.4,18629.9,1313155.7,85984.4,44814.4,565386.5,549753.7,737347.3,131765.2,1125562,359554.5,164144.5,591441.1,148511.7,11464.6,14695.2,13273.4,263152.2,5546.7,937968.3,661788.8,578413.9,758191.7,617495.8,19815.5,48211.5,1633.8,88648.5,12562.4,294417.8,513277.1,78687.2,52855.2,19429.6,677421.6,152684.9,982261.3,685238,216253.8,11235.2,776429.3,617495.8,466378.7,14596.2,23226.5,73476.2,591441.1,4768.6,88585.9,153722.6,56279,42285.7,44324.2,16824.2,9642.4,81295.9,268363.2,375187.3,8769.5,19284.6,588835.7,76796.5,69679.4,51671.6
"Chaetoceros socialis",,,,521.9,265.5,,93796.8,93796.8,28661.4,14218.7,2654.7,59925.8,177171.8,12562.4,7347.6,7816.4,93796.8,7816.4,328288.9,44814.4,95361.1,518488.6,414269.3,18238.3,497644.4,25124.9,388214.7,283996,1421.9,36737.9,49538.8,4958.4,33871.8,59925.8,635734.9,69679.4,64355.5,1421.9,38569.2,91491.8,596652.8,57597.4,72953.9,122457,666999.7,578413.9,47946.4,5732.3,132878.8,67221.6,487222.4,5546.7,997.8,41243,635734.9,42992.2,333499.9,93796.8,213648.3,61489.4,5249.8,541937.3,265757.7,813.4,64468.5,59446.6,63523.2,121343.3
"Skeletonema marinoi",,,"cf.",,,,,,,,,,,,,,521.9,,,,,,,,,,,1421.9,,265.5,,521.9,,,,521.9,,7816.4,,,,,,,,,,,,,,7816.4,7816.4,1421.9,,,,,,,,,,,,,,
"Pennate",,,"small",265.5,132.7,132.7,,,,265.5,521.9,,521.9,,265.5,,,,,,521.9,521.9,521.9,521.9,265.5,,265.5,,1421.9,265.5,521.9,265.5,7816.4,,,521.9,,,,,1421.9,15632.9,,,,,521.9,,,,,,265.5,521.9,521.9,,,,521.9,,521.9,,,,,,,521.9
"Thalassiosira minima",,,,,,,1421.9,1327.3,,,,,,,,,,,,,2843.7,,,,521.9,,,,,,,,,,,,,,,,,,,1421.9,,,,,,,,,,265.5,,521.9,,7816.4,,,,,,,,,,1421.9
