"Expedition","Sample name","Program","Ship","Station","Cast number","Latitude (decimals)","Longitude (decimals)","Bottom depth (m)","Sampling date (UTC)","Gear","Sampling depth (m) from/Distance from core bottom (cm)","Sampling depth (m) to /Distance from core bottom (cm) to","Animal group","Sample type","Responsible","Comment","Floe","Location","Ice core type","Ice core number","Distance from core bottom (cm) from","Distance from core bottom (cm) to","Ice thickness (cm)","Snow thickness (cm)","Freeboard (cm)","Total melted volume (ml)","Salinity","Filtered volume (ml)","Dilution factor"
"N-ICE2015","PHT-107","N-ICE","R/V Lance","Ship CTD-024",24,82.4272,15.2857,1377,26/04/2015 14:14,"Ship CTD",15,,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","POC-140","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",28,,"Water","POC/PON","Philipp Assmy","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,480,
"N-ICE2015","POC-141","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",8,,"Water","POC/PON","Philipp Assmy","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,600,
"N-ICE2015","POC-142","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",0,10,"Sea ice","POC/PON","Philipp Assmy","Total volume 2820 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,2820,,275,
"N-ICE2015","POC-143","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",10,20,"Sea ice","POC/PON","Philipp Assmy","Total volume 3160 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,3160,,260,
"N-ICE2015","IAT-040","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",121,136,"Ice algae","Ice algae taxonomy","Philipp Assmy","Total volume 4680 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,4680,,,
"N-ICE2015","CHL-227","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",0,10,"Sea ice","Pigments","Philipp Assmy","Total volume 2820 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,2820,,300,
"N-ICE2015","CHL-228","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",10,20,"Sea ice","Pigments","Philipp Assmy","Total volume 3160 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,3160,,500,
"N-ICE2015","CHL-229","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",20,40,"Sea ice","Pigments","Philipp Assmy","Total volume 5980 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5980,,1000,
"N-ICE2015","SWN-025","N-ICE","R/V Lance","Refrozen lead transect 5",,81.9787,13.0900,1214,01/05/2015 12:00,"Swim-net 200 µm",1,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,"Site5",,,,,,,,,
"N-ICE2015","SWN-026","N-ICE","R/V Lance","Refrozen lead transect 5",,81.9787,13.0900,1214,01/05/2015 12:00,"Swim-net 200 µm",5,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-027","N-ICE","R/V Lance","Refrozen lead transect 5",,81.9787,13.0900,1214,01/05/2015 12:00,"Swim-net 200 µm",5,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-028","N-ICE","R/V Lance","Dive tent thick ice",,81.9883,13.1717,1511.1,01/05/2015 12:00,"Swim-net 200 µm",5,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-031","N-ICE","R/V Lance","Dive tent thick ice",,81.7033,12.7117,1967.5,06/05/2015 12:00,"Swim-net 200 µm",0,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","ZOP-001a","N-ICE","R/V Lance","Multinet-07",,82.4709,15.2901,1301,26/04/2015 07:00,"Multinet 200 μm",1100,600,"Zooplankton","Zooplankton physiology","Janne Søreide, UNIS; Anette Wold","Digestive enzymes; Metabolic enzymes; Lipids; CN; Respiration experiemnts. Two nets pooled","Floe 3",,,,,,,,,,,,
"N-ICE2015","ZOP-001b","N-ICE","R/V Lance","Multinet-07",,82.4709,15.2901,1301,26/04/2015 07:00,"Multinet 200 μm",600,200,"Zooplankton","Zooplankton physiology","Janne Søreide, UNIS; Anette Wold","Digestive enzymes; Metabolic enzymes; Lipids; CN; Respiration experiemnts. Two nets pooled","Floe 3",,,,,,,,,,,,
"N-ICE2015","ZOP-001c","N-ICE","R/V Lance","Multinet-07",,82.4709,15.2901,1301,26/04/2015 07:00,"Multinet 200 μm",200,100,"Zooplankton","Zooplankton physiology","Janne Søreide, UNIS; Anette Wold","Digestive enzymes; Metabolic enzymes; Lipids; CN; Respiration experiemnts. Two nets pooled","Floe 3",,,,,,,,,,,,
"N-ICE2015","ZOP-001d","N-ICE","R/V Lance","Multinet-07",,82.4709,15.2901,1301,26/04/2015 07:00,"Multinet 200 μm",100,50,"Zooplankton","Zooplankton physiology","Janne Søreide, UNIS; Anette Wold","Digestive enzymes; Metabolic enzymes; Lipids; CN; Respiration experiemnts. Two nets pooled","Floe 3",,,,,,,,,,,,
"N-ICE2015","ZOP-001e","N-ICE","R/V Lance","Multinet-07",,82.4709,15.2901,1301,26/04/2015 07:00,"Multinet 200 μm",50,0,"Zooplankton","Zooplankton physiology","Janne Søreide, UNIS; Anette Wold","Digestive enzymes; Metabolic enzymes; Lipids; CN; Respiration experiemnts. Two nets pooled","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-032","N-ICE","R/V Lance","Dive tent thick ice",,81.7033,12.7117,1967.5,06/05/2015 12:00,"Swim-net 200 µm",0,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-033","N-ICE","R/V Lance","Dive tent thick ice",,81.7033,12.7117,1967.5,06/05/2015 12:00,"Swim-net 200 µm",0,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-034","N-ICE","R/V Lance","Dive tent thick ice",,81.7033,12.7117,1967.5,06/05/2015 12:00,"Swim-net 200 µm",1,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-035","N-ICE","R/V Lance","Dive tent thick ice",,81.7033,12.7117,1967.5,06/05/2015 12:00,"Swim-net 200 µm",1,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-036","N-ICE","R/V Lance","Dive tent thick ice",,81.7033,12.7117,1967.5,06/05/2015 12:00,"Swim-net 200 µm",1,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-037","N-ICE","R/V Lance","Dive tent thick ice",,81.7033,12.7117,1967.5,06/05/2015 12:00,"Swim-net 200 µm",5,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-038","N-ICE","R/V Lance","Dive tent thick ice",,81.7033,12.7117,1967.5,06/05/2015 12:00,"Swim-net 200 µm",5,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-039","N-ICE","R/V Lance","Dive tent thick ice",,81.7033,12.7117,1967.5,06/05/2015 12:00,"Swim-net 200 µm",5,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-040","N-ICE","R/V Lance","Refrozen lead thin",,81.5617,11.4717,1927.5,09/05/2015 12:00,"Swim-net 200 µm",0,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thin ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-041","N-ICE","R/V Lance","Refrozen lead thin",,81.5617,11.4717,1927.5,09/05/2015 12:00,"Swim-net 200 µm",0,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thin ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-042","N-ICE","R/V Lance","Refrozen lead thin",,81.5617,11.4717,1927.5,09/05/2015 12:00,"Swim-net 200 µm",0,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thin ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-043","N-ICE","R/V Lance","Refrozen lead thin",,81.5617,11.4717,1927.5,09/05/2015 12:00,"Swim-net 200 µm",1,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thin ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-044","N-ICE","R/V Lance","Refrozen lead thin",,81.5617,11.4717,1927.5,09/05/2015 12:00,"Swim-net 200 µm",1,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thin ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-045","N-ICE","R/V Lance","Refrozen lead thin",,81.5617,11.4717,1927.5,09/05/2015 12:00,"Swim-net 200 µm",1,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thin ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-046","N-ICE","R/V Lance","Refrozen lead thin",,81.5617,11.4717,1927.5,09/05/2015 12:00,"Swim-net 200 µm",5,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thin ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-047","N-ICE","R/V Lance","Refrozen lead thin",,81.5617,11.4717,1927.5,09/05/2015 12:00,"Swim-net 200 µm",5,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thin ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-048","N-ICE","R/V Lance","Refrozen lead thin",,81.5617,11.4717,1927.5,09/05/2015 12:00,"Swim-net 200 µm",5,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thin ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-049","N-ICE","R/V Lance","Dive tent thick ice",,81.4359,9.9644,1655,11/05/2015 12:00,"Swim-net 200 µm",0,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","SWN-050","N-ICE","R/V Lance","Dive tent thick ice",,81.4359,9.9644,1655,11/05/2015 12:00,"Swim-net 200 µm",0,,"Zooplankton","Mesozooplankton taxonomy","Haakon Hop","Thick ice","Floe 3",,,,,,,,,,,,
"N-ICE2015","BSI-079","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",20,40,"Sea ice","Biogenic silica","Philipp Assmy","Total volume 5980 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5980,,1000,
"N-ICE2015","BSI-080","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",40,60,"Sea ice","Biogenic silica","Philipp Assmy","Total volume 5620 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5620,,1000,
"N-ICE2015","BSI-081","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",60,80,"Sea ice","Biogenic silica","Philipp Assmy","Total volume 5850 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5850,,1000,
"N-ICE2015","BSI-082","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",80,100,"Sea ice","Biogenic silica","Philipp Assmy","Total volume 5720 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5720,,1000,
"N-ICE2015","BSI-083","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",100,121,"Sea ice","Biogenic silica","Philipp Assmy","Total volume 5660 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5660,,1000,
"N-ICE2015","BSI-084","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",121,136,"Sea ice","Biogenic silica","Philipp Assmy","Total volume 4680 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,4680,,750,
"N-ICE2015","CHL-230","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",40,60,"Sea ice","Pigments","Philipp Assmy","Total volume 5620 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5620,,1000,
"N-ICE2015","CHL-231","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",60,80,"Sea ice","Pigments","Philipp Assmy","Total volume 5850 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5850,,1000,
"N-ICE2015","CHL-232","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",80,100,"Sea ice","Pigments","Philipp Assmy","Total volume 5720 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5720,,1000,10
"N-ICE2015","CHL-233","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",100,121,"Sea ice","Pigments","Philipp Assmy","Total volume 5660 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5660,,1000,
"N-ICE2015","DOC-210","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",0,10,"Sea ice","DOC/TDN","Philipp Assmy","Total volume 2820 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,2820,,,
"N-ICE2015","DOC-211","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",10,20,"Sea ice","DOC/TDN","Philipp Assmy","Total volume 3160 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,3160,,,
"N-ICE2015","DOC-212","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",20,40,"Sea ice","DOC/TDN","Philipp Assmy","Total volume 5980 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5980,,,
"N-ICE2015","DOC-213","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",40,60,"Sea ice","DOC/TDN","Philipp Assmy","Total volume 5620 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5620,,,
"N-ICE2015","FCM-320","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7315,15.2742,1614,24/04/2015 14:00,"Sediment trap",1,,"Bacteria","Flow cytometry","Aud Larsen UiB","Under-ice trap retrieval on 26.04.2015 at 15:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-321","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7315,15.2742,1614,24/04/2015 14:00,"Sediment trap",1,,"Bacteria","Flow cytometry","Aud Larsen UiB","Under-ice trap retrieval on 26.04.2015 at 15:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-322","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7315,15.2742,1614,24/04/2015 14:00,"Sediment trap",1,,"Bacteria","Flow cytometry","Lasse Mork Olsen","Under-ice trap retrieval on 26.04.2015 at 15:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-323","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",103,,"Bacteria","Flow cytometry","Aud Larsen UiB","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-324","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",103,,"Bacteria","Flow cytometry","Aud Larsen UiB","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-325","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",103,,"Bacteria","Flow cytometry","Lasse Mork Olsen","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-326","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",53,,"Bacteria","Flow cytometry","Aud Larsen UiB","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-327","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",53,,"Bacteria","Flow cytometry","Aud Larsen UiB","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-328","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",53,,"Bacteria","Flow cytometry","Lasse Mork Olsen","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-329","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",28,,"Bacteria","Flow cytometry","Aud Larsen UiB","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-330","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",28,,"Bacteria","Flow cytometry","Aud Larsen UiB","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-331","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",28,,"Bacteria","Flow cytometry","Lasse Mork Olsen","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-332","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",8,,"Bacteria","Flow cytometry","Aud Larsen UiB","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-333","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",8,,"Bacteria","Flow cytometry","Aud Larsen UiB","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","FCM-334","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",8,,"Bacteria","Flow cytometry","Lasse Mork Olsen","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","HPL-106","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",40,60,"Sea ice","HPLC pigments","Philipp Assmy","Total volume 5620 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5620,,1000,
"N-ICE2015","HPL-107","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",60,80,"Sea ice","HPLC pigments","Philipp Assmy","Total volume 5850 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5850,,920,
"N-ICE2015","HPL-108","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",80,100,"Sea ice","HPLC pigments","Philipp Assmy","Total volume 5720 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5720,,1000,
"N-ICE2015","HPL-109","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",100,121,"Sea ice","HPLC pigments","Philipp Assmy","Total volume 5660 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5660,,1000,
"N-ICE2015","PAB-123","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",20,40,"Sea ice","Particulate absorption","Mats Granskog",,"Floe 3",,,"Bio01 & 02",,,,,,,,1000,
"N-ICE2015","PAB-124","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",40,60,"Sea ice","Particulate absorption","Mats Granskog",,"Floe 3",,,"Bio01 & 02",,,,,,,,1000,
"N-ICE2015","PAB-125","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",60,80,"Sea ice","Particulate absorption","Mats Granskog",,"Floe 3",,,"Bio01 & 02",,,,,,,,1000,
"N-ICE2015","PAB-126","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",80,100,"Sea ice","Particulate absorption","Mats Granskog",,"Floe 3",,,"Bio01 & 02",,,,,,,,1000,
"N-ICE2015","PAB-127","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",100,121,"Sea ice","Particulate absorption","Mats Granskog",,"Floe 3",,,"Bio01 & 02",,,,,,,,1000,
"N-ICE2015","PHT-108","N-ICE","R/V Lance","Ship CTD-024",24,82.4272,15.2857,1377,26/04/2015 14:14,"Ship CTD",6,,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy",,"Floe 3",,,,,,,,,,,,
"N-ICE2015","PHT-109","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7315,15.2742,1614,24/04/2015 14:00,"Sediment trap",1,,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy","Under-ice trap retrieval on 26.04.2015 at 15:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","PHT-110","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7315,15.2742,1614,24/04/2015 14:00,"Sediment trap",1,,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy","Under-ice trap retrieval on 26.04.2015 at 15:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","PHT-111","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7315,15.2742,1614,24/04/2015 14:00,"Sediment trap",1,,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy","Under-ice trap retrieval on 26.04.2015 at 15:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","PHT-112","N-ICE","R/V Lance","Dive tent incubation hole thick ice",,82.7204,15.2472,1607,24/04/2015 16:00,"Sediment trap",103,,"Phytoplankton","Phytoplankton taxonomy","Philipp Assmy","Mooring retrieval on 26.04.2015 at 17:00","Floe 3",,,,,,,,,,,,
"N-ICE2015","POC-144","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",20,40,"Sea ice","POC/PON","Philipp Assmy","Total volume 5980 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5980,,1000,
"N-ICE2015","POC-145","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",40,60,"Sea ice","POC/PON","Philipp Assmy","Total volume 5620 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5620,,1000,
"N-ICE2015","POC-146","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",60,80,"Sea ice","POC/PON","Philipp Assmy","Total volume 5850 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5850,,920,
"N-ICE2015","POC-147","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",80,100,"Sea ice","POC/PON","Philipp Assmy","Total volume 5720 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5720,,1000,
"N-ICE2015","POC-148","N-ICE","R/V Lance","Main Coring Site",,82.8478,16.5763,1762,22/04/2015 15:30,"Ice corer 14 cm",100,121,"Sea ice","POC/PON","Philipp Assmy","Total volume 5660 ml; Ice thickness 136 cm /141 cm; Snow depth 46, 45, 50, 50, 51 cm","Floe 3",,,"Bio01 & 02",,,"136/141",48.4,1,5660,,1000,
